unit_number,time_cycles,predicted_RUL,health_score,risk_level,likely_failure_mode,recommended_action,severity,alert_message,generated_at
34,203,6.4588447,5.2,Critical,Overheating Risk,Emergency Shutdown,SEVERE,Engine 34: Critical (Health Score 5.2) - Emergency Shutdown | Likely cause: Overheating Risk,2026-08-08T00:08:02
81,213,6.6830683,5.3,Critical,Overheating Risk,Emergency Shutdown,SEVERE,Engine 81: Critical (Health Score 5.3) - Emergency Shutdown | Likely cause: Overheating Risk,2026-08-08T00:08:02
35,198,8.082899,6.5,Critical,Overheating Risk + Pressure System Irregularity,Emergency Shutdown,SEVERE,Engine 35: Critical (Health Score 6.5) - Emergency Shutdown | Likely cause: Overheating Risk + Pressure System Irregularity,2026-08-08T00:08:02
76,205,9.237854,7.4,Critical,Bearing / Mechanical Risk,Emergency Shutdown,SEVERE,Engine 76: Critical (Health Score 7.4) - Emergency Shutdown | Likely cause: Bearing / Mechanical Risk,2026-08-08T00:08:02
31,196,11.418726,9.1,Critical,Pressure System Irregularity,Emergency Shutdown,SEVERE,Engine 31: Critical (Health Score 9.1) - Emergency Shutdown | Likely cause: Pressure System Irregularity,2026-08-08T00:08:02
20,184,12.285292,9.8,Critical,General Degradation,Emergency Shutdown,SEVERE,Engine 20: Critical (Health Score 9.8) - Emergency Shutdown,2026-08-08T00:08:02
56,136,12.234685,9.8,Critical,General Degradation,Emergency Shutdown,SEVERE,Engine 56: Critical (Health Score 9.8) - Emergency Shutdown,2026-08-08T00:08:02
82,162,12.562372,10.0,Critical,Overheating Risk,Emergency Shutdown,SEVERE,Engine 82: Critical (Health Score 10.0) - Emergency Shutdown | Likely cause: Overheating Risk,2026-08-08T00:08:02
68,187,12.566757,10.1,Critical,Overheating Risk,Emergency Shutdown,SEVERE,Engine 68: Critical (Health Score 10.1) - Emergency Shutdown | Likely cause: Overheating Risk,2026-08-08T00:08:02
66,147,16.057623,12.8,Critical,Overheating Risk + Bearing / Mechanical Risk,Emergency Shutdown,SEVERE,Engine 66: Critical (Health Score 12.8) - Emergency Shutdown | Likely cause: Overheating Risk + Bearing / Mechanical Risk,2026-08-08T00:08:02
36,126,18.92644,15.1,High Risk,General Degradation,Immediate Repair,WARNING,Engine 36: High Risk (Health Score 15.1) - Immediate Repair,2026-08-08T00:08:02
